Region,InstanceType,CPU,Memory,Cost
us-east-2,m5a.16xlarge,64,256 GiB,4.0000000000
us-east-1-phl-1,m5.2xlarge,8,32 GiB,0.6150000000
ap-southeast-2,c7g.large,2,4 GiB,0.0944000000
us-east-1,c6in.xlarge,4,8 GiB,1.7494800000
ap-southeast-1,r5a.8xlarge,32,256 GiB,2.7170000000
eu-west-1,i3.8xlarge,32,244 GiB,2.7520000000
ap-southeast-1,m6in.large,2,8 GiB,0.6679000000
eu-west-1,c5ad.16xlarge,64,128 GiB,27.1360000000
us-west-2,c5.large,2,4 GiB,0.0850000000
us-east-2,r5ad.24xlarge,96,768 GiB,17.8080000000
us-west-2,u-6tb1.112xlarge,448,6144 GiB,108.3600000000
eu-west-1,r5b.xlarge,4,32 GiB,0.3674000000
ca-central-1,r6i.12xlarge,48,384 GiB,4.1232000000
ap-southeast-1,t3.large,2,8 GiB,0.1795000000
us-east-2,r5d.12xlarge,48,384 GiB,3.4560000000
ca-central-1,c6in.8xlarge,32,64 GiB,13.9824000000
ap-southeast-1,c6in.2xlarge,8,16 GiB,0.5728800000
ap-south-1,x1e.xlarge,4,122 GiB,1.4260000000
eu-west-2,c6i.16xlarge,64,128 GiB,27.2320000000
us-west-2,m5n.8xlarge,32,128 GiB,2.0190000000
ap-south-1,c6i.32xlarge,128,256 GiB,53.4400000000
us-east-2,c5ad.8xlarge,32,64 GiB,13.5140000000
eu-west-2,r6g.2xlarge,8,64 GiB,0.5020000000
ap-northeast-1,z1d.2xlarge,8,64 GiB,1.0430000000
us-gov-east-1,r6g.large,2,16 GiB,0.1208000000
eu-north-1,r5d.metal,96,768 GiB,18.8160000000
us-east-2,r5n.8xlarge,32,256 GiB,6.2240000000
ap-southeast-4,m5.8xlarge,32,128 GiB,2.6530000000
us-gov-east-1,c5.large,2,4 GiB,0.1700000000
ap-southeast-1,r6id.24xlarge,96,768 GiB,20.2896000000
us-west-2,t2.small,1,2 GiB,0.0230000000
us-west-2,m3.large,2,7.5 GiB,0.2020000000
af-south-1,r5dn.2xlarge,8,64 GiB,1.8440000000
us-west-2,inf1.2xlarge,8,16 GiB,0.5190000000
ca-central-1,r5.4xlarge,16,128 GiB,7.1700000000
ap-south-1-ccu-1,r5.2xlarge,8,64 GiB,0.8790000000
ap-south-1,r4.8xlarge,32,244 GiB,6.0320000000
ap-south-1,i3.8xlarge,32,244 GiB,15.1150000000
ca-central-1,c5.24xlarge,96,192 GiB,15.9840000000
me-central-1,m5d.24xlarge,96,384 GiB,42.6530000000
us-gov-west-1,c6i.large,2,4 GiB,0.1798000000
ap-east-1,r6g.12xlarge,48,384 GiB,3.2160000000
us-gov-west-1,i2.4xlarge,16,122 GiB,10.5010000000
us-east-1,m5d.12xlarge,48,192 GiB,20.8760000000
us-east-1,c5d.18xlarge,72,144 GiB,30.4560000000
us-east-1,m5a.16xlarge,64,256 GiB,2.9190000000
us-west-1,m5a.24xlarge,96,384 GiB,16.3680000000
ap-northeast-2,c5d.metal,96,192 GiB,5.2800000000
eu-central-2,c5d.4xlarge,16,32 GiB,6.9770000000
us-west-2,m5dn.8xlarge,32,128 GiB,2.1760000000
us-east-1,c6id.32xlarge,128,256 GiB,54.4512000000
eu-central-1,r5b.16xlarge,64,512 GiB,13.3760000000
ap-southeast-4,i3.8xlarge,32,244 GiB,3.8320000000
us-east-1,r5a.large,2,16 GiB,0.1810000000
eu-south-1,i4i.32xlarge,128,1024 GiB,14.9056000000
us-gov-west-1,m6id.metal,128,512 GiB,9.6128000000
us-west-2,z1d.2xlarge,8,64 GiB,0.7890000000
ap-southeast-1,r5a.12xlarge,48,384 GiB,4.2710000000
us-west-2-phx-1,c5d.2xlarge,8,16 GiB,0.6150000000
us-gov-west-1,x2iedn.24xlarge,96,3072 GiB,28.0323000000
ap-south-1,r6id.large,2,16 GiB,0.2262000000
us-east-2,r5d.8xlarge,32,256 GiB,14.4420000000
eu-south-2,t3.large,2,8 GiB,0.1588000000
af-south-1,c6in.2xlarge,8,16 GiB,0.6098400000
us-west-2,r5.12xlarge,48,384 GiB,3.2050000000
sa-east-1,c6a.8xlarge,32,64 GiB,14.0750400000
ap-northeast-3,i4i.8xlarge,32,256 GiB,4.0840000000
ap-southeast-1,r5d.12xlarge,48,384 GiB,5.2380000000
us-west-2,c6i.metal,128,256 GiB,53.4400000000
me-south-1,m6i.16xlarge,64,256 GiB,11.9040000000
eu-west-1,c5ad.xlarge,4,8 GiB,1.6960000000
us-west-2-sea-1,c5d.4xlarge,16,32 GiB,7.0180000000
us-west-1,r6i.4xlarge,16,128 GiB,7.2320000000
ap-south-2,m5.4xlarge,16,64 GiB,2.7280000000
us-east-1,m6in.xlarge,4,16 GiB,0.7863100000
ap-southeast-1,z1d.2xlarge,8,64 GiB,3.9040000000
eu-west-1,m6i.16xlarge,64,256 GiB,4.5056000000
ap-southeast-3,r6gd.xlarge,4,32 GiB,0.2948000000
eu-west-3,i3.8xlarge,32,244 GiB,15.1860000000
ap-southeast-1,r6idn.24xlarge,96,768 GiB,22.7520000000
eu-south-1,c5a.8xlarge,32,64 GiB,1.9970000000
eu-central-1,r6id.16xlarge,64,512 GiB,30.3940800000
me-south-1,c5a.8xlarge,32,64 GiB,5.5120000000
eu-west-2,c5n.4xlarge,16,42 GiB,1.3560000000
us-west-1,x2idn.24xlarge,96,1536 GiB,15.9279000000
us-east-2,p2.8xlarge,32,488 GiB,7.2000000000
us-west-2,x2idn.metal,128,2048 GiB,15.5012000000
ap-east-1,c6i.2xlarge,8,16 GiB,3.4320000000
ca-central-1,c5d.2xlarge,8,16 GiB,3.4510000000
ap-southeast-2,r6i.8xlarge,32,256 GiB,2.9568000000
us-east-2,m5zn.metal,48,192 GiB,10.1205000000
ap-southeast-2,m5zn.large,2,8 GiB,0.2065000000
sa-east-1,r5n.large,2,16 GiB,0.2500000000
ap-northeast-1,i3en.24xlarge,96,768 GiB,14.3900000000
us-west-1,i2.2xlarge,8,61 GiB,2.0640000000
us-east-1,x1e.4xlarge,16,488 GiB,5.5900000000
us-gov-east-1,c5.2xlarge,8,16 GiB,1.3930000000
eu-north-1,r6i.16xlarge,64,512 GiB,5.7984000000
eu-west-3,x2idn.32xlarge,128,2048 GiB,18.9692000000
us-gov-west-1,r5.xlarge,4,32 GiB,0.8000000000
ap-south-1,r6a.2xlarge,8,64 GiB,0.3146000000
eu-central-1,t3a.2xlarge,8,32 GiB,1.3056000000
us-east-2,m6i.large,2,8 GiB,0.5760000000
sa-east-1,c5.18xlarge,72,144 GiB,4.7160000000
ap-northeast-1,d3.2xlarge,8,64 GiB,1.5840000000
eu-south-1,r6i.12xlarge,48,384 GiB,3.9072000000
us-west-1,c6i.16xlarge,64,128 GiB,3.3920000000
ca-central-1,r5.2xlarge,8,64 GiB,3.5520000000
ap-southeast-1,i4i.16xlarge,64,512 GiB,7.6640000000
ap-southeast-1,r5d.4xlarge,16,128 GiB,3.3960000000
us-west-2,m5dn.large,2,8 GiB,0.6240000000
us-east-1-iah-1,r5d.2xlarge,8,64 GiB,0.7200000000
eu-north-1,c5d.18xlarge,72,144 GiB,3.7440000000
us-east-1,c5n.18xlarge,72,192 GiB,30.8880000000
eu-west-1,h1.16xlarge,64,256 GiB,11.8320000000
us-east-1,i4i.metal,128,1024 GiB,26.3420000000
ap-south-1,c4.large,2,3.75 GiB,0.1100000000
ap-northeast-3,r6i.xlarge,4,32 GiB,0.8144000000
af-south-1,m5d.4xlarge,16,64 GiB,3.1200000000
eu-west-1,m5ad.large,2,8 GiB,0.1900000000
us-west-1,c6i.32xlarge,128,256 GiB,8.9472000000
us-east-1-chi-1,c5d.2xlarge,8,16 GiB,0.6150000000
us-gov-west-1,r5d.12xlarge,48,384 GiB,4.9630000000
us-gov-east-1,c5a.8xlarge,32,64 GiB,2.0130000000
ap-south-1,d3.8xlarge,32,256 GiB,4.7298400000
ap-southeast-2,u-3tb1.56xlarge,224,3072 GiB,35.9865000000
us-west-2-pdx-1,r5d.2xlarge,8,64 GiB,1.6800000000
us-east-2,r6in.4xlarge,16,128 GiB,3.3146400000
us-west-2-lax-1,m5.4xlarge,16,64 GiB,1.1920000000
eu-west-1,m5dn.4xlarge,16,64 GiB,3.1360000000
ap-northeast-2,c5n.xlarge,4,10.5 GiB,0.7240000000
ap-south-2,r5.24xlarge,96,768 GiB,7.8620000000
us-east-2,m4.10xlarge,40,160 GiB,6.8000000000
eu-central-1,x2iedn.32xlarge,128,4096 GiB,37.3480000000
